make,car_model,depth,height,width,extra_depth,img_url
Peugeot,508 1.6 5DR HATCH 2018,103,67,98,172,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4182_5755_0_5755.jpg?itok=hSf3jQsa
Peugeot,508 2.0 5DR HATCH 2018,103,67,98,172,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4186_5774_0_5774.jpg?itok=Bv8F_MqT
Peugeot,508 BLUEHDI 150 STOP START ALLURE 4DR SALOON 2015,103,51,111,181,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3839_5256_0_5256.jpg?itok=EmAjrVkw
Peugeot,508 SW 1.5 5DR ESTATE 2019,105,67,99,185,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4237_5829_0_5829.jpg?itok=pb4zPpi0
Peugeot,508 SW 1.6 5DR ESTATE 2019,105,67,99,185,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4233_5833_0_5833.jpg?itok=AKRPYs3j
Peugeot,508 SW 1.6 HYBRID 5DR ESTATE 2020,105,67,99,185,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4378_5989_0_5989.jpg?itok=nrVrTV3g
BMW,518D TOURING STEPTRONIC 5DR ESTATE 2015,106,73,220,190,
BMW,520D 4DR SALOON 2017,113,52,80,182,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4026_5589_0_5589.jpg?itok=mfQTKU3R
BMW,520D 5DR ESTATE 2018,108,73,109,185,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4194_5790_0_5790.jpg?itok=uytvEsUn
BMW,520D STEPTRONIC 4DR SALOON 2014,113,51,84,113,
BMW,520I TOURING LUXURY LINE STEPTRONIC 5DR ESTATE 2018,108,73,109,185,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4103_5677_0_5677.jpg?itok=XOFOeWNv
BMW,530D TOURING 5DR ESTATE 2017,108,73,109,185,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4034_5618_0_5618.jpg?itok=gEmVIdEW
Mazda,6 5DR ESTATE 2018,109,70,100,184,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4209_5789_0_5789.jpg?itok=5mzHvPga
Mazda,6 COMBI SKYACTIV-D 150 I-ELOOP EXCLUSIVE-LINE 5DR ESTATE 2015,109,69,100,191,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3826_5283_0_5283.jpg?itok=kiwOcDP6
BMW,630D GRAN TURISMO SPORT LINE STEPTRONIC 5DR HATCH 2018,114,68,107,149,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4121_5690_0_5690.jpg?itok=juWn_TNS
BMW,650I COUPÉ M SPORTPAKET STEPTRONIC 2DR COUPE 2015,96,48,83,96,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3866_5365_0_5365.jpg?itok=gxx6_TMo
BMW,730D 4DR SALOON 2017,113,54,78,113,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4030_5627_0_5627.jpg?itok=2ciPkyFE
BMW,730D 4DR SALOON 2019,113,54,78,113,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4357_5914_0_5914.jpg?itok=UUpuqY0w
BMW,730D STEPTRONIC 4DR SALOON 2016,113,54,78,113,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3907_5432_0_5432.jpg?itok=d38ZRqxY
BMW,745E M 4DR SALOON 2019,107,52,83,107,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4355_5920_0_5920.jpg?itok=f6dqEI9O
BMW,840D 2DR COUPE 2019,110,47,81,171,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4304_5836_0_5836.jpg?itok=QURRPVKf
Porsche,911 CARRERA CABRIOLET2DR 2016,41,57,68,41,
Porsche,911 CARRERA COUPÉ S 2DR COUPE 2020,0,60,0,0,
Mercedes Benz,A 180 BLUEEFFICIENCY EDITION STYLE 5DR HATCH 2016,70,70,103,140,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3931_5353_0_5353.jpg?itok=MkmJ4IPf
Mercedes Benz,A 180 D 5DR HATCH 2019,81,73,99,151,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4229_5791_0_5791.jpg?itok=dn9nO57G
Mercedes Benz,A 200 AMG-LINE 5DR HATCH 2018,81,73,99,147,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4167_5748_0_5748.jpg?itok=1urGCp5j
Mercedes Benz,A 200 D LIMOUSINE 4DR SALOON 2020,92,49,103,166,
Mercedes Benz,A 220 5DR HATCH 2019,81,7,99,151,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4261_5910_0_5910.jpg?itok=lRN99tOI
Audi,A1 1.0 TFSI ULTRA SPORT 3DR HATCH 2015,63,66,94,125,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3877_5322_0_5322.jpg?itok=XSBfcKWU
Audi,A1 CITYCARVER 5DR HATCH 2020,66,77,98,134,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4459_6011_0_6011.jpg?itok=7oUHE4iO
Audi,A1 SPORTBACK 1.6 TDI SPORT 5DR HATCH 2015,63,66,95,125,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3850_5312_0_5312.jpg?itok=hXgWUDDt
Audi,A1 SPORTBACK 5DR HATCH 2019,66,78,95,134,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4258_5915_34_5915.JPG?itok=g0GISmol
Alpine,A110 PURE 2DR COUPE 2019,32,28,92,32,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4259_5912_0_5912.jpg?itok=mZxiP0EX
Audi,A3 5DR HATCH 2018,78,79,99,145,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4143_5721_0_5721.jpg?itok=S-Cws99D
Audi,A4 2.0 TDI SPORT S TRONIC 4DR SALOON 2016,107,50,97,182,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3914_5392_0_5392.jpg?itok=-2AIynDz
Audi,A4 5DR ESTATE 2020,105,72,98,180,
Audi,A4 AVANT 2.0 TDI ULTRA DESIGN 5DR ESTATE 2016,105,71,98,180,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3911_5398_0_5398.jpg?itok=1GkhUYAI
Audi,A4 AVANT 5DR ESTATE 2017,105,69,98,180,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4087_5653_0_5653.jpg?itok=EeskTMP7
Audi,A5 CABRIOLET 2.0 TDI 2DR CONVERTIBLE 2017,107,35,89,172,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4096_5632_0_5632.jpg?itok=KIp3ckmd
Audi,A5 COUPE 2.0 2DR 2017,108,47,89,173,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4016_5571_0_5571.jpg?itok=71-mEPD5
Audi,A5 SPORTBACK 40 5DR HATCH 2019,106,64,99,175,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4323_5953_0_5953.jpg?itok=WMrsbZmo
Audi,A6 AVANT 2.0 TDI ULTRA S TRONIC 5DR ESTATE 2016,116,72,104,194,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3959_5431_0_5431.jpg?itok=Gq-8gJGD
Audi,A6 AVANT 5DR ESTATE 2019,116,72,99,196,
Audi,A7 5DR HATCH 2019,116,69,98,196,
Audi,A7 SPORTBACK 3.0 TDI ULTRA S TRONIC 5DR COUPE 2015,117,69,97,194,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3800_5237_0_5237.jpg?itok=p2cwL8tD
Audi,A8 QUATTRO 4DR SALOON 2018,96,50,89,96,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4162_5733_0_5733.jpg?itok=jXHR6u5X
Vauxhall,ADAM 1.0 DI TURBO ECOFLEX START STOP SLAM 3DR HATCH 2014,47,86,96,108,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3804_5231_0_5231.jpg?itok=XoS41M5V
Vauxhall,ADAM ROCKS S3DR HATCH 2016,47,86,96,105,
Alfa Romeo,ALFA ROMEO 159 SPORTWAGON 2.0 JTDM 16V ECO 5DR ESTATE 2010,101,129,92,177,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/2933_2516_0_2516.jpg?itok=aUG1hRAI
Alfa Romeo,ALFA ROMEO 159 TURISMO 1.8 TBI 16V 4DR SALOON 2009,101,54,85,174,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/2437_2021_0_2021.jpg?itok=qZopD4Q6
Alfa Romeo,ALFA ROMEO BRERA 2.4 JTDM 20V 3DR COUPE 2008,95,61,84,152,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/2438_2022_0_2022.jpg?itok=exQvp-Hs
Alfa Romeo,ALFA ROMEO GIULIETTA 1.4 TB 16V MULTIAIR TURISMO TCT 5DR HATCH 2014,75,76,102,147,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3726_5152_0_5152.jpg?itok=XeFWWGeR
Alfa Romeo,ALFA ROMEO GIULIETTA TURISMO 1.4 TB 16V 5DR HATCH 2010,77,76,101,147,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/2953_2536_0_2536.jpg?itok=zUPpH9T0
Alfa Romeo,ALFA ROMEO MITO 1.6 JTD MULTIJET 16V 3DR HATCH 2008,67,82,97,127,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/2439_2023_0_2023.jpg?itok=CcOiOq5s
Alfa Romeo,ALFA ROMEO MITO TURISMO 1.4 TB 3DR HATCH 2008,67,82,97,127,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/2440_2024_0_2024.jpg?itok=LH7i7OP3
Alfa Romeo,ALFA ROMEO MITO TURISMO 1.4 TB MULTIAIR 3DR HATCH 2010,67,82,97,127,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/2441_2025_0_2025.jpg?itok=ULi7wX06
Alfa Romeo,ALFA ROMEO SPIDER 2.4 JTD 2DR CONVERTIBLE 2008,77,47,91,77,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/2442_2026_0_2026.jpg?itok=ufonKcM1
SEAT,ALHAMBRA 2.0 TDI ECOMOTIVE REFERENCE 5DR MPV 2016,47,112,79,126,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3918_5384_0_5384.jpg?itok=Xz9orvrR
Mercedes Benz,AMG GT SPEEDSHIFT DCT 2DR COUPE 2016,50,33,120,50,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3927_5360_0_5360.jpg?itok=fphlY-Nh
Vauxhall,AMPERA-E 5DR HATCH 2017,69,89,99,138,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4041_5606_0_5606.jpg?itok=tWuVeVZl
SEAT,ARONA 1.0 5DR SALOON 2019,73,72,98,145,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4247_5819_0_5819.jpg?itok=CfnwO5Vs
SEAT,ARONA 5DR SALOON 2018,72,83,93,145,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4152_5708_0_5708.jpg?itok=VPbnI-3A
Volkswagen,ARTEON 2.0 TDI 5DR COUPE 2017,96,76,100,198,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4095_5636_0_5636.jpg?itok=h9vTOXVo
Volkswagen,ARTEON 2.0 TSI 5DR HATCH 2019,96,76,100,201,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4349_5929_0_5929.jpg?itok=OD6HUMqw
Vauxhall,ASTRA 1.0 DI TURBO ECOFLEX START&STOP INNOVATION 5DR HATCH 2015,70,84,78,152,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3889_5341_0_5341.jpg?itok=faz92MSp
Vauxhall,ASTRA 1.2 DI 5DR HATCH 2020,76,68,103,151,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4380_5986_0_5986.jpg?itok=6Gi_8seJ
Vauxhall,ASTRA 1.4 5DR HATCH 2018,76,65,102,151,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4131_5702_0_5702.jpg?itok=1LUPxQpH
Vauxhall,ASTRA 1.4 DI 5DR HATCH 2017,76,68,102,151,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4073_5668_0_5668.jpg?itok=SmnaGYoF
Vauxhall,ASTRA 1.6 5DR HATCH 2018,76,68,102,151,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4208_5792_0_5792.jpg?itok=_pR9j2PY
Vauxhall,ASTRA 1.6 CDTI ECOFLEX START&STOP INNOVATION 5DR HATCH 2016,70,84,78,152,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3935_5449_0_5449.jpg?itok=-0l3YrmK
Vauxhall,ASTRA SPORTS TOURER 1.4 DI TURBO ECOFLEX BUSINESS 5DR ESTATE 2016,105,74,102,183,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3947_5461_0_5461.jpg?itok=Opa16CNq
Vauxhall,ASTRA SPORTS TOURER 1.4 DI TURBO ECOFLEX START&STOP DYNAMIC 5DR ESTATE 2016,105,74,102,183,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4001_5559_0_5559.jpg?itok=rA6cjuK7
Vauxhall,ASTRA SPORTS TOURER 1.5 5DR ESTATE 2019,106,74,102,183,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4335_5940_0_5940.JPG?itok=gyB3D9Bc
SEAT,ATECA 1.4 ECO 5DR SALOON 2017,86,90,95,159,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4011_5591_0_5591.jpg?itok=UrKbRz75
SEAT,ATECA 1.5 5DR SALOON 2019,86,90,100,199,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4236_5830_0_5830.jpg?itok=Y0aLpriu
SEAT,ATECA 1.5 TSI 5DR SALOON 2021,86,90,100,159,
SEAT,ATECA 2.0 TDI 5DR SALOON 2016,95,79,111,180,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3984_5516_0_5516.jpg?itok=kUJsDXOb
CUPRA,ATECA 5DR SALOON 2019,86,81,100,155,
Audi,AUDI A1 AMBITION 1.2 TFSI 3DR HATCH 2011,63,66,92,130,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3108_2691_0_2691.jpg?itok=0zo9WcNl
Audi,AUDI A1 AMBITION 1.4 TSFI 3DR HATCH 2010,63,66,92,130,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/2989_2572_0_2572.jpg?itok=O9Qslofi
Audi,AUDI A1 SPORTBACK AMBITION 2.0 TDI 105 5DR HATCH 2012,63,66,94,129,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3477_2875_0_2875.jpg?itok=7K3ULzL6
Audi,AUDI A3 1.4 TFSI 3DR HATCH 2013,72,68,99,138,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3531_4914_0_4914.jpg?itok=eVgGBf8c
Audi,AUDI A3 1.8 TFSI 132 KW 3DR HATCH 2012,72,68,99,138,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3455_2853_0_2853.jpg?itok=oQDM3zSD
Audi,AUDI A3 1.9 TDI 3DR HATCH 2008,80,82,98,154,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/2443_2027_0_2027.jpg?itok=8AWM6qa9
Audi,AUDI A3 AMBITION 1.4 TFSI 103KW 140 PS 4DR SALOON 2013,95,52,99,168,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3627_5045_0_5045.jpg?itok=bTgCONv8
Audi,AUDI A3 AMBITION 1.6 TDI 77KW 105 PS 4DR SALOON 2013,95,52,99,168,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3635_5027_0_5027.jpg?itok=RAggTE6C
Audi,AUDI A3 ATTRACTION 1.6 TDI 99G (DPF) 3DR HATCH 2010,80,82,79,154,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/2444_2028_0_2028.jpg?itok=urCMN1rU
Audi,AUDI A3 CABRIO AMBITION 1.8 TFSI 2DR CONVERTIBLE 2008,82,53,68,152,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/2445_2029_0_2029.jpg?itok=wuuFlWO_
Audi,AUDI A3 CABRIOLET 2.0 TDI 2DR CONVERTIBLE 2014,98,42,99,162,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3757_5176_0_5176.jpg?itok=0H8qMmB-
Audi,AUDI A3 CABRIOLET AMBITION 1.4 TFSI 2DR CONVERTIBLE 2011,82,53,68,152,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3104_2687_0_2687.jpg?itok=Ug7shTXf
Audi,AUDI A3 SE TDI 2.0 3DR HATCH,2,82,98,2,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/2348_458_0_458.jpg?itok=V8BH-d4Q
Audi,AUDI A3 SPORTBACK 1.6 TDI ULTRA ATTRACTION 5DR HATCH 2014,78,79,99,145,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3658_5104_0_5104.jpg?itok=4I6YzHoO
Audi,AUDI A3 SPORTBACK AMBITION 1.4 TFSI 5DR HATCH 2008,79,72,97,152,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/2446_2030_0_2030.jpg?itok=f-PY6ZrI
Audi,AUDI A3 SPORTBACK AMBITION 1.4 TFSI COD 103KW 140 PS 5DR HATCH 2013,78,79,99,145,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3588_4958_0_4958.jpg?itok=KmQuULY_
Audi,AUDI A3 SPORTBACK AMBITION 1.6 TDI 5DR HATCH 2013,78,79,99,145,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3553_4929_0_4929.jpg?itok=jgQWrvVH
Audi,AUDI A3 SPORTBACK AMBITION 2.0 TDI 110KW 150 PS 5DR HATCH 2013,78,79,99,145,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3589_4981_0_4981.jpg?itok=akAyRXw4
Audi,AUDI A3 SPORTBACK FSI SPORT 2.0 5DR HATCH,83,82,99,156,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/2349_460_0_460.jpg?itok=yxPLkfdp
Audi,AUDI A3 SPORTBACK G-TRON 1.481KW 110PS 5DR HATCH 2013,76,68,99,145,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3641_5056_0_5056.jpg?itok=FY3An-IQ
Audi,AUDI A4 2.0 TDI ULTRA SPORT 4DR SALOON 2016,107,50,97,182,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3903_5369_0_5369.jpg?itok=2pXYLCBM
Audi,AUDI A4 AMBITION 1.8 TFSI 4DR SALOON,106,50,96,106,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/2350_461_0_461.jpg?itok=7FX3IKsu
Audi,AUDI A4 AMBITION 2.0TDI 4DR SALOON 2012,105,50,100,105,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3306_2796_0_2796.jpg?itok=aG2rgoj1
Audi,AUDI A4 AMBITION 2.0TDI 4DR SALOON 2013,105,50,100,105,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3630_5042_0_5042.jpg?itok=h3qfoXD_
